func,control,ta,agg,meter_num,meter_time,name,host,timestamp
meterRepTime_r3,24219964,0,4402629,20,324322666,cir,raspberrypi,2021-07-29T231226
meterRepTime_r2,24196606,0,4716209,20,324634717,cir,raspberrypi,2021-07-29T231226
meterRepTime_r10,28731703,0,117464166,20,446041943,cir,raspberrypi,2021-07-29T231030
meterRepTime_r9,24707018,0,12202685,20,348091552,cir,raspberrypi,2021-07-29T231030
meterRepTime_r8,24686333,0,6375796,20,330955226,cir,raspberrypi,2021-07-29T231030
meterRepTime_r7,24316852,0,5924075,20,328996780,cir,raspberrypi,2021-07-29T231030
meterRepTime_r6,24330963,0,4817185,20,328467609,cir,raspberrypi,2021-07-29T231030
meterRepTime_r5,24454630,0,7247203,20,329142554,cir,raspberrypi,2021-07-29T231030
meterRepTime_r4,24474000,0,6737741,20,329848554,cir,raspberrypi,2021-07-29T231030
meterRepTime_r3,24222093,0,18793945,20,324845242,cir,raspberrypi,2021-07-29T231030
meterRepTime_r2,24229093,0,5575815,20,326983240,cir,raspberrypi,2021-07-29T231030
meterRepTime_r10,29568612,0,115072028,20,443597748,cir,raspberrypi,2021-07-29T231422
meterRepTime_r9,25162468,0,13266600,20,349070512,cir,raspberrypi,2021-07-29T231422
meterRepTime_r8,24652845,0,6216351,20,335276307,cir,raspberrypi,2021-07-29T231422
meterRepTime_r7,24297990,0,5469122,20,329694604,cir,raspberrypi,2021-07-29T231422
meterRepTime_r6,24167736,0,4623721,20,326913056,cir,raspberrypi,2021-07-29T231422
meterRepTime_r5,24406121,0,5408071,20,342189752,cir,raspberrypi,2021-07-29T231422
meterRepTime_r4,24487292,0,7117045,20,329046168,cir,raspberrypi,2021-07-29T231422
meterRepTime_r3,24199450,0,4675655,20,323810025,cir,raspberrypi,2021-07-29T231422
meterRepTime_r2,24162150,0,4504650,20,324502513,cir,raspberrypi,2021-07-29T231422
meterRepTime_r10,29191851,0,114191223,20,440454057,cir,raspberrypi,2021-07-29T213522
